id,film_id,director_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,1
25,25,1
26,26,24
27,27,25
28,28,26
29,29,27
30,30,28
31,31,29
32,32,30
33,33,31
34,34,32
35,35,33
36,36,34
37,37,35
38,38,36
39,39,37
40,40,38
41,41,39
42,42,40
43,43,41
44,44,42
45,45,43
46,46,44
47,47,45
48,48,46
49,49,47
50,50,48
51,51,49
52,52,50
53,53,51
54,54,52
55,55,53
56,56,45
57,57,54
58,58,55
59,59,56
60,60,57
61,61,58
62,62,59
63,63,60
64,64,61
65,65,62
66,66,63
67,67,64
68,68,65
69,69,66
70,70,67
71,71,68
72,72,69
73,73,70
74,74,71
75,75,72
76,76,73
77,77,74
78,78,75
79,79,76
80,80,4
81,81,77
82,82,78
83,83,79
84,84,80
85,85,81
86,86,82
87,87,83
88,88,84
89,89,85
90,90,86
91,91,87
92,92,88
93,93,89
94,94,10
95,95,90
96,96,91
97,97,69
98,98,92
99,99,14
100,100,93
