id,film_id,user_id,rating
1,1,1,5.0
2,1,2,0.0
3,1,3,5.0
4,1,4,0.0
5,2,1,5.0
6,2,5,7.0
7,3,6,6.0
8,3,1,5.0
9,4,7,10.0
10,4,8,0.0
11,4,6,7.0
12,4,5,6.0
13,5,1,8.0
14,5,9,9.0
15,5,6,7.0
16,6,5,5.0
17,8,1,5.0
18,8,6,6.0
19,8,10,7.0
20,8,5,4.0
21,10,1,8.0
22,10,6,7.0
23,12,5,6.0
24,12,11,2.0
25,12,12,0.0
26,12,13,2.0
27,12,14,7.0
28,12,15,0.0
29,12,16,1.0
30,14,17,10.0
31,14,18,8.0
32,14,19,10.0
33,14,20,10.0
34,14,6,6.0
35,17,21,6.0
36,17,22,5.0
37,17,23,1.0
38,17,16,7.0
39,17,6,6.0
40,17,24,0.0
41,17,25,10.0
42,19,26,8.0
43,19,27,0.0
44,19,6,7.0
45,19,5,7.0
46,20,1,7.0
47,20,28,9.0
48,20,6,6.0
49,20,4,8.0
50,22,29,10.0
51,22,6,7.0
52,24,30,6.0
53,24,1,7.0
54,24,31,8.0
55,24,32,10.0
56,24,28,4.0
57,24,33,8.0
58,24,6,7.0
59,24,34,0.0
60,24,35,0.0
61,24,36,0.0
62,25,37,5.0
63,25,1,8.0
64,25,38,10.0
65,25,39,0.0
66,25,6,7.0
67,27,1,5.0
68,27,5,6.0
69,27,3,4.0
70,27,40,2.0
71,28,41,4.0
72,29,6,7.0
73,30,42,10.0
74,30,43,7.0
75,30,6,7.0
76,30,44,9.0
77,31,6,6.0
78,32,6,6.0
79,34,6,7.0
80,34,45,0.0
81,34,46,0.0
82,35,47,7.0
83,36,1,8.0
84,36,6,7.0
85,36,14,6.0
86,36,48,0.0
87,36,44,10.0
88,36,49,9.0
89,36,3,10.0
90,36,50,8.0
91,36,5,7.0
92,36,5,7.0
93,37,5,7.0
94,38,3,7.0
95,38,14,6.0
96,38,6,6.0
97,38,49,7.0
98,38,22,7.0
99,38,1,6.0
100,39,51,10.0
101,39,1,8.0
102,39,52,8.0
103,39,6,7.0
104,39,53,8.0
105,39,22,8.0
106,39,54,8.0
107,39,55,7.0
108,41,56,9.0
109,41,57,8.0
110,41,58,10.0
111,41,59,0.0
112,41,60,7.0
113,41,61,9.0
114,41,62,8.0
115,41,63,0.0
116,41,64,10.0
117,41,13,8.0
118,42,28,6.0
119,43,6,6.0
120,44,5,4.0
121,44,65,0.0
122,45,6,7.0
123,45,44,8.0
124,46,66,7.0
125,46,67,9.0
126,46,44,8.0
127,46,44,8.0
128,47,68,0.0
129,47,69,1.0
130,47,60,7.0
131,47,70,8.0
132,47,71,0.0
133,47,72,8.0
134,47,73,8.0
135,47,74,10.0
136,47,6,7.0
137,48,75,8.0
138,48,37,9.0
139,48,76,10.0
140,48,6,8.0
141,49,77,3.0
142,50,78,3.0
143,50,1,8.0
144,50,22,5.0
145,50,6,7.0
146,50,10,8.0
147,50,13,8.0
148,50,14,4.0
149,50,79,10.0
150,50,5,5.0
151,50,80,7.0
152,52,81,10.0
153,52,1,8.0
154,52,22,7.0
155,52,6,6.0
156,52,54,5.0
157,56,82,8.0
158,56,1,5.0
159,56,83,9.0
160,56,60,7.0
161,56,10,7.0
162,56,84,7.0
163,56,13,8.0
164,56,6,5.0
165,56,85,1.0
166,56,74,10.0
167,57,1,7.0
168,57,6,5.0
169,58,1,7.0
170,58,10,8.0
171,58,68,0.0
172,58,6,7.0
173,58,28,8.0
174,58,86,0.0
175,58,43,7.0
176,58,87,0.0
177,58,87,0.0
178,58,88,10.0
179,60,89,8.0
180,60,60,9.0
181,60,61,0.0
182,60,90,8.0
183,60,91,8.5
184,60,37,9.0
185,60,92,0.0
186,60,93,0.0
187,60,94,0.0
188,60,95,0.0
189,61,1,6.0
190,61,22,9.0
191,61,16,5.0
192,61,6,7.0
193,61,3,10.0
194,63,96,7.0
195,63,96,7.0
196,63,97,7.0
197,63,74,7.0
198,63,98,7.0
199,63,99,7.0
200,65,5,6.0
201,68,5,6.0
202,68,18,10.0
203,68,6,6.0
204,68,3,5.0
205,69,100,2.0
206,69,10,8.0
207,69,48,7.0
208,69,1,8.0
209,69,22,4.0
210,69,101,6.0
211,69,13,9.0
212,69,5,7.0
213,69,6,6.0
214,69,28,8.0
215,71,97,9.0
216,71,74,10.0
217,71,6,7.0
218,72,57,9.0
219,72,102,9.5
220,72,56,7.0
221,72,103,10.0
222,72,104,10.0
223,72,61,4.0
224,72,105,0.0
225,72,106,0.0
226,72,84,9.0
227,72,107,9.0
228,73,108,5.0
229,73,1,5.0
230,73,5,5.0
231,73,10,5.0
232,73,22,7.0
233,73,6,6.0
234,73,28,1.0
235,73,42,8.0
236,73,87,0.0
237,73,109,0.0
238,76,110,0.0
239,76,6,7.0
240,76,1,7.0
241,76,28,2.0
242,77,111,9.0
243,77,37,10.0
244,77,112,6.0
245,77,113,10.0
246,77,114,0.0
247,77,115,0.0
248,77,10,10.0
249,77,116,0.0
250,77,117,3.0
251,77,118,0.0
252,79,56,10.0
253,79,37,8.0
254,79,10,8.0
255,79,1,10.0
256,79,119,9.0
257,79,119,9.0
258,79,6,7.0
259,80,28,7.0
260,80,5,5.0
261,80,120,9.0
262,80,6,6.0
263,80,87,7.0
264,80,121,9.0
265,80,122,7.0
266,80,66,7.0
267,80,123,10.0
268,81,6,7.0
269,82,124,10.0
270,82,125,10.0
271,82,117,1.0
272,82,6,7.0
273,82,126,9.0
274,82,127,10.0
275,84,10,8.0
276,84,128,8.0
277,84,1,8.0
278,84,129,10.0
279,84,6,7.0
280,84,130,7.0
281,84,131,10.0
282,85,6,5.0
283,89,132,0.0
284,89,6,6.0
285,89,49,9.0
286,89,133,4.0
287,90,22,4.0
288,91,6,6.0
289,91,134,0.0
290,92,6,7.0
291,92,28,1.0
292,92,10,6.0
293,93,1,7.0
294,93,87,0.0
295,93,130,9.0
296,93,5,8.0
297,94,82,9.0
298,94,1,9.0
299,94,60,8.0
300,94,84,8.0
301,94,64,9.5
302,94,10,8.0
303,94,135,0.0
304,94,136,0.0
305,94,137,3.0
306,94,138,7.0
307,96,1,7.0
308,96,22,8.0
309,97,139,0.0
310,97,90,8.0
311,97,140,0.0
312,97,84,9.0
313,97,74,7.0
314,97,141,0.0
315,97,142,0.0
316,99,143,9.0
317,99,67,7.0
318,99,6,5.0
319,99,144,4.0
320,99,19,10.0
321,99,19,10.0
322,99,145,0.0
323,99,146,7.0
324,99,147,7.0
325,99,13,7.0
